factory_id,factory_lat,factory_lon,store_id,store_lat,store_lon,distance_km,travel_h
7,25.003907,102.728798,42,25.012332,102.741341,1.99,0.0593
7,25.003907,102.728798,35,25.01759,102.720254,2.61,0.0462
7,25.003907,102.728798,8,25.017778,102.718046,2.84,0.0491
7,25.003907,102.728798,47,25.029787,102.723431,3.47,0.0664
7,25.003907,102.728798,39,25.006938,102.710096,3.64,0.0996
7,25.003907,102.728798,3,25.023279,102.713511,3.76,0.0675
7,25.003907,102.728798,4,25.033193,102.720373,3.81,0.0798
7,25.003907,102.728798,16,25.007315,102.709421,3.91,0.0977
7,25.003907,102.728798,34,25.021039,102.723025,4.06,0.0803
7,25.003907,102.728798,41,25.029838,102.731797,4.08,0.0788
7,25.003907,102.728798,22,25.01892,102.721192,4.25,0.0868
7,25.003907,102.728798,24,25.036582,102.720998,4.27,0.0797
7,25.003907,102.728798,32,25.037792,102.720133,4.34,0.0809
7,25.003907,102.728798,66,24.977922,102.713,4.52,0.1131
7,25.003907,102.728798,53,25.042435,102.722253,4.7,0.0928
7,25.003907,102.728798,18,25.030005,102.734582,5.07,0.1035
7,25.003907,102.728798,26,25.032488,102.709097,5.11,0.1058
7,25.003907,102.728798,59,25.035963,102.712313,5.11,0.0936
7,25.003907,102.728798,5,25.036758,102.711479,5.22,0.0953
7,25.003907,102.728798,52,25.020036,102.709004,5.41,0.127
7,25.003907,102.728798,7,25.036777,102.709338,5.42,0.0988
7,25.003907,102.728798,1,25.038232,102.709463,5.62,0.1134
7,25.003907,102.728798,6,25.038259,102.709537,5.62,0.1134
7,25.003907,102.728798,23,25.038231,102.709577,5.62,0.1134
7,25.003907,102.728798,2,25.038431,102.708774,5.7,0.1161
7,25.003907,102.728798,36,25.039971,102.711598,5.76,0.1106
7,25.003907,102.728798,56,25.045098,102.714254,5.93,0.1073
7,25.003907,102.728798,30,24.993108,102.684326,5.94,0.1459
7,25.003907,102.728798,9,25.040698,102.708656,5.98,0.1162
7,25.003907,102.728798,10,25.008485,102.683689,6.23,0.1576
7,25.003907,102.728798,55,24.992294,102.684547,6.24,0.159
7,25.003907,102.728798,14,25.044113,102.70872,6.36,0.1328
7,25.003907,102.728798,13,25.050038,102.713552,6.43,0.12
7,25.003907,102.728798,20,25.039458,102.708842,6.63,0.1288
7,25.003907,102.728798,27,25.03954,102.708709,6.63,0.1288
7,25.003907,102.728798,12,25.036139,102.711831,6.72,0.1203
7,25.003907,102.728798,45,25.035975,102.712825,6.8,0.1217
7,25.003907,102.728798,28,24.985728,102.675479,6.83,0.1707
7,25.003907,102.728798,19,25.049371,102.707042,7.15,0.1312
7,25.003907,102.728798,54,24.976499,102.763515,7.18,0.1739
7,25.003907,102.728798,65,25.045393,102.699744,7.23,0.1474
7,25.003907,102.728798,11,24.975782,102.761436,7.25,0.1761
7,25.003907,102.728798,21,25.054849,102.704789,7.78,0.1493
7,25.003907,102.728798,29,25.048151,102.698887,7.94,0.145
7,25.003907,102.728798,50,25.065918,102.723109,7.97,0.1448
7,25.003907,102.728798,25,25.044307,102.698815,7.98,0.1441
7,25.003907,102.728798,64,24.953883,102.75418,8.18,0.151
7,25.003907,102.728798,62,25.056526,102.734395,8.27,0.148
7,25.003907,102.728798,48,24.954918,102.754512,8.32,0.1573
7,25.003907,102.728798,57,24.967684,102.666279,9.84,0.2384
7,25.003907,102.728798,44,25.037148,102.662709,10.35,0.1613
7,25.003907,102.728798,33,24.967073,102.792852,10.67,0.1984
7,25.003907,102.728798,51,24.951159,102.762866,10.75,0.218
7,25.003907,102.728798,15,24.946946,102.766473,10.95,0.213
7,25.003907,102.728798,60,25.102171,102.731267,12.95,0.2351
7,25.003907,102.728798,37,25.062727,102.656527,13.16,0.2068
7,25.003907,102.728798,63,25.103131,102.733174,13.45,0.2443
7,25.003907,102.728798,40,25.107158,102.728729,14.36,0.2543
7,25.003907,102.728798,31,24.902825,102.788144,19.94,0.2603
7,25.003907,102.728798,61,24.903374,102.787903,19.94,0.2603
7,25.003907,102.728798,38,24.877277,102.825018,23.83,0.2916
7,25.003907,102.728798,49,24.880873,102.824558,24.62,0.3071
7,25.003907,102.728798,58,24.887839,102.825318,25.56,0.3188
7,25.003907,102.728798,43,24.856251,102.836921,26.15,0.3283
7,25.003907,102.728798,46,24.857566,102.860076,29.05,0.4049
8,25.004084,102.729994,67,25.006243,102.735529,0.61,0.0153
8,25.004084,102.729994,42,25.012332,102.741341,1.85,0.056
8,25.004084,102.729994,35,25.01759,102.720254,2.47,0.0429
8,25.004084,102.729994,8,25.017778,102.718046,2.71,0.0458
8,25.004084,102.729994,47,25.029787,102.723431,3.34,0.0631
8,25.004084,102.729994,39,25.006938,102.710096,3.51,0.0962
8,25.004084,102.729994,3,25.023279,102.713511,3.63,0.0642
8,25.004084,102.729994,4,25.033193,102.720373,3.67,0.0765
8,25.004084,102.729994,16,25.007315,102.709421,3.77,0.0943
8,25.004084,102.729994,34,25.021039,102.723025,3.92,0.077
8,25.004084,102.729994,41,25.029838,102.731797,3.95,0.0755
8,25.004084,102.729994,22,25.01892,102.721192,4.12,0.0834
8,25.004084,102.729994,24,25.036582,102.720998,4.14,0.0764
8,25.004084,102.729994,32,25.037792,102.720133,4.21,0.0775
8,25.004084,102.729994,66,24.977922,102.713,4.39,0.1097
8,25.004084,102.729994,53,25.042435,102.722253,4.56,0.0894
8,25.004084,102.729994,18,25.030005,102.734582,4.93,0.1001
8,25.004084,102.729994,26,25.032488,102.709097,4.98,0.1024
8,25.004084,102.729994,59,25.035963,102.712313,4.98,0.0902
8,25.004084,102.729994,5,25.036758,102.711479,5.08,0.092
8,25.004084,102.729994,52,25.020036,102.709004,5.28,0.1236
8,25.004084,102.729994,7,25.036777,102.709338,5.29,0.0954
8,25.004084,102.729994,1,25.038232,102.709463,5.48,0.1101
8,25.004084,102.729994,6,25.038259,102.709537,5.48,0.1101
8,25.004084,102.729994,23,25.038231,102.709577,5.48,0.1101
8,25.004084,102.729994,2,25.038431,102.708774,5.56,0.1127
8,25.004084,102.729994,36,25.039971,102.711598,5.62,0.1072
8,25.004084,102.729994,56,25.045098,102.714254,5.79,0.104
8,25.004084,102.729994,30,24.993108,102.684326,5.81,0.1426
8,25.004084,102.729994,9,25.040698,102.708656,5.85,0.1129
8,25.004084,102.729994,10,25.008485,102.683689,6.1,0.1542
8,25.004084,102.729994,55,24.992294,102.684547,6.11,0.1556
8,25.004084,102.729994,14,25.044113,102.70872,6.23,0.1295
8,25.004084,102.729994,13,25.050038,102.713552,6.29,0.1166
8,25.004084,102.729994,20,25.039458,102.708842,6.5,0.1255
8,25.004084,102.729994,27,25.03954,102.708709,6.5,0.1255
8,25.004084,102.729994,12,25.036139,102.711831,6.58,0.117
8,25.004084,102.729994,45,25.035975,102.712825,6.66,0.1183
8,25.004084,102.729994,28,24.985728,102.675479,6.69,0.1673
8,25.004084,102.729994,19,25.049371,102.707042,7.02,0.1279
8,25.004084,102.729994,54,24.976499,102.763515,7.05,0.1705
8,25.004084,102.729994,65,25.045393,102.699744,7.1,0.144
8,25.004084,102.729994,11,24.975782,102.761436,7.12,0.1728
8,25.004084,102.729994,21,25.054849,102.704789,7.65,0.1459
8,25.004084,102.729994,29,25.048151,102.698887,7.81,0.1417
8,25.004084,102.729994,50,25.065918,102.723109,7.83,0.1415
8,25.004084,102.729994,25,25.044307,102.698815,7.84,0.1408
8,25.004084,102.729994,64,24.953883,102.75418,8.05,0.1476
8,25.004084,102.729994,62,25.056526,102.734395,8.14,0.1447
8,25.004084,102.729994,48,24.954918,102.754512,8.18,0.1539
8,25.004084,102.729994,57,24.967684,102.666279,9.71,0.2351
8,25.004084,102.729994,44,25.037148,102.662709,10.21,0.1579
8,25.004084,102.729994,33,24.967073,102.792852,10.53,0.1951
8,25.004084,102.729994,51,24.951159,102.762866,10.62,0.2147
8,25.004084,102.729994,15,24.946946,102.766473,10.81,0.2096
8,25.004084,102.729994,60,25.102171,102.731267,12.81,0.2317
8,25.004084,102.729994,37,25.062727,102.656527,13.03,0.2035
8,25.004084,102.729994,63,25.103131,102.733174,13.31,0.2409
8,25.004084,102.729994,40,25.107158,102.728729,14.22,0.2509
8,25.004084,102.729994,31,24.902825,102.788144,19.81,0.2569
8,25.004084,102.729994,61,24.903374,102.787903,19.81,0.2569
8,25.004084,102.729994,38,24.877277,102.825018,23.7,0.2882
8,25.004084,102.729994,49,24.880873,102.824558,24.49,0.3037
8,25.004084,102.729994,58,24.887839,102.825318,25.43,0.3155
8,25.004084,102.729994,43,24.856251,102.836921,26.02,0.3249
8,25.004084,102.729994,46,24.857566,102.860076,28.91,0.4015
9,24.887014,103.172192,68,24.671241,102.915366,43.81,0.4786
10,25.048296,102.711075,19,25.049371,102.707042,0.8,0.0247
10,25.048296,102.711075,21,25.054849,102.704789,1.1,0.0357
10,25.048296,102.711075,56,25.045098,102.714254,1.2,0.0262
